CI_stem,N12,No of mistletoes,Stand,ID,DBH,Distance from infected stem,Infected,Max_size of mistletoe,Min distance to mistletoe 120cm in diameter,Min distance to mistletoe 100cm in diameter,Min distance to mistletoe 50cm in diameter,Min distance to mistletoe
10.49953919,58,0,äobes,1128,14,9.94969,0,0,34.8782,9.94969,9.94969,9.94969
5.269238705,21,0,äobes,1523,18,8.92598,0,0,53.92304,31.75098,13.31821,8.92598
2.658122864,26,0,äobes,74,38,5.13014,0,0,54.05432,17.32103,7.99377,5.13014
5.850675638,41,0,äobes,66,24,0.6364,0,0,55.68455,23.15471,10.25471,0.6364
14.89150699,57,0,äobes,1129,10,9.74852,0,0,34.82381,9.74852,9.74852,9.74852
2.685738468,22,0,äobes,1007,30,0.80678,0,0,28.42634,19.99225,13.77158,0.80678
5.032241529,34,0,äobes,1449,26,0.7922,0,0,36.61411,11.02308,7.58958,0.7922
5.684774556,51,0,äobes,1020,26,6.64177,0,0,38.43629,11.56481,6.64177,6.64177
10.53360612,58,0,äobes,1127,14,9.61612,0,0,34.3005,9.61612,9.61612,9.61612
3.498564921,22,0,äobes,1524,26,9.02634,0,0,53.38249,31.86329,12.77727,9.02634
5.947327595,42,1,äobes,65,25,2.70185,1,30,55.05719,22.83696,9.62917,2.70185
6.31367143,34,0,äobes,1460,21,7.97998,0,0,44.17798,18.16327,7.97998,7.97998
6.407759328,26,0,äobes,1525,17,8.28849,0,0,53.58944,31.12423,12.588,8.28849
4.48526691,33,0,äobes,1458,28,7.65135,0,0,43.34949,17.35276,7.65135,7.65135
3.352333717,34,1,äobes,1447,36,0.60085,1,30,35.61292,11.30659,8.07801,0.60085
4.396756767,30,0,äobes,75,26,5.24669,0,0,53.42772,17.53214,7.31982,5.24669
4.110780775,30,0,äobes,1527,26,7.32644,0,0,54.01644,30.16107,12.57002,7.32644
6.182779062,34,0,äobes,1459,22,7.73852,0,0,43.73334,17.81355,7.73852,7.73852
9.039202796,56,0,äobes,1126,16,9.19969,0,0,34.02596,9.19969,9.19969,9.19969
4.409551362,21,1,äobes,1438,21,9.04411,1,50,30.14869,13.54739,13.06961,9.04411
6.908332899,42,0,äobes,64,22,0.3827,0,0,54.86007,23.08116,9.56672,0.3827
4.34237447,36,1,äobes,1448,30,0.60085,1,30,35.84677,11.61208,8.26979,0.60085
9.699434957,29,0,äobes,1526,12,7.65486,0,0,53.70024,30.48422,12.37062,7.65486
14.20135732,52,0,äobes,1124,10,8.55153,0,0,33.96574,8.55153,8.55153,8.55153
5.20686783,23,0,äobes,1437,20,1.52861,0,0,30.46879,13.06709,12.18957,1.52861
5.995376534,42,0,äobes,63,24,0.79192,0,0,54.5619,23.25961,9.40955,0.79192
6.124055012,50,0,äobes,1122,22,7.85989,0,0,34.22265,7.85989,7.85989,7.85989
4.413965098,20,0,äobes,1436,23,1.17208,0,0,29.94682,13.60364,12.79121,1.17208
17.77268901,53,0,äobes,1125,8,8.25456,0,0,33.38988,8.25456,8.25456,8.25456
4.680814947,51,0,äobes,1121,27,7.61801,0,0,34.40206,7.61801,7.61801,7.61801
3.243113669,29,0,äobes,1016,24,4.34488,0,0,29.79564,21.78029,12.15576,4.34488
3.32571314,21,0,äobes,1435,29,1.15468,0,0,29.46316,14.1017,13.31955,1.15468
7.037802757,49,0,äobes,1123,19,7.54975,0,0,33.70903,7.54975,7.54975,7.54975
2.882441323,18,0,äobes,1010,24,3.3751,0,0,27.98198,16.37477,16.27744,3.3751
3.758143799,27,0,äobes,83,29,6.5519,0,0,51.55254,14.2525,6.5519,6.5519
5.727742597,34,0,äobes,1115,20,8.75728,0,0,32.7423,16.18015,8.75728,8.75728
4.361363699,23,0,äobes,1434,23,2.73714,0,0,30.25003,13.33452,12.08543,2.73714
3.677398716,27,0,äobes,81,30,6.83903,0,0,51.26619,13.34836,6.83903,6.83903
4.202416693,28,0,äobes,82,28,6.6372,0,0,51.24566,13.64476,6.6372,6.6372
3.986607093,21,0,äobes,1433,24,2.8255,0,0,29.86124,13.73121,12.45222,2.8255
3.679869421,31,0,äobes,1479,29,8.17994,0,0,45.59687,21.83044,8.17994,8.17994
7.111915731,34,0,äobes,1114,17,7.66845,0,0,32.74532,15.10843,7.66845,7.66845
4.412877689,32,0,äobes,1478,25,6.83724,0,0,44.04984,20.60323,6.83724,6.83724
11.11126898,32,0,äobes,1480,11,7.71542,0,0,45.15408,21.86013,7.71542,7.71542
12.28963657,68,0,äobes,1152,13,10.59672,0,0,30.76809,10.68175,10.68175,10.59672
5.973597378,41,0,äobes,1476,20,4.62228,0,0,39.45897,17.60092,4.62228,4.62228
8.020037875,35,0,äobes,1110,16,5.6774,0,0,32.30851,13.23617,5.6774,5.6774
14.66267517,50,0,äobes,1150,9,7.26754,0,0,29.92643,7.26754,7.26754,7.26754
